Target Position_x,Target Position_y,Actual Position_x,Actual Position_y
5.7938693467,-0.0999999648,5.7938693467,-0.1000000238
5.803919598,-0.0999999662,5.803919598,-0.1000000238
5.8139698492,-0.0999999678,5.8139698492,-0.1000000238
5.8240201005,-0.0999999697,5.8240201005,-0.1000000238
5.8340703518,-0.0999999719,5.8340703518,-0.1000000089
5.8441206030,-0.0999999741,5.8441206030,-0.0999999940
5.8541708543,-0.0999999766,5.8541708543,-0.0999999940
5.8642211055,-0.0999999791,5.8642211055,-0.0999999940
5.8742713568,-0.0999999817,5.8742713568,-0.0999999940
5.8843216080,-0.0999999844,5.8843216080,-0.0999999940
5.8943718593,-0.0999999871,5.8943718593,-0.0999999791
5.9044221106,-0.0999999898,5.9044221106,-0.0999999791
5.9144723618,-0.0999999925,5.9144723618,-0.0999999791
5.9245226131,-0.0999999951,5.9245226131,-0.0999999791
5.9345728643,-0.0999999976,5.9345728643,-0.0999999791
5.9446231156,-0.1000000000,5.9446231156,-0.0999999791
5.9546733668,-0.1000000023,5.9546733668,-0.0999999791
5.9647236181,-0.1000000045,5.9647236181,-0.0999999791
5.9747738693,-0.1000000065,5.9747738693,-0.0999999642
5.9848241206,-0.1000000083,5.9848241206,-0.0999999642
5.9948743719,-0.1000000100,5.9948743719,-0.0999999642
6.0049246231,-0.1000000115,6.0049246231,-0.0999999642
6.0149748744,-0.1000000128,6.0149748744,-0.0999999642
6.0250251256,-0.1000000139,6.0250251256,-0.0999999642
6.0350753769,-0.1000000148,6.0350753769,-0.0999999642
6.0451256281,-0.1000000155,6.0451256281,-0.0999999642
6.0551758794,-0.1000000160,6.0551758794,-0.0999999642
6.0652261307,-0.1000000164,6.0652261307,-0.0999999791
6.0752763819,-0.1000000165,6.0752763819,-0.0999999791
6.0853266332,-0.1000000165,6.0853266332,-0.0999999791
6.0953768844,-0.1000000163,6.0953768844,-0.0999999791
6.1054271357,-0.100000016,6.1054271357,-0.0999999791
6.1154773869,-0.1000000155,6.1154773869,-0.0999999791
6.1255276382,-0.1000000149,6.1255276382,-0.0999999791
6.1355778894,-0.1000000142,6.1355778894,-0.0999999940
6.1456281407,-0.1000000133,6.1456281407,-0.0999999940
6.155678392,-0.1000000124,6.155678392,-0.0999999940
6.1657286432,-0.1000000114,6.1657286432,-0.0999999940
6.1757788945,-0.1000000103,6.1757788945,-0.0999999940
6.1858291457,-0.1000000092,6.1858291457,-0.0999999940
6.195879397,-0.1000000081,6.195879397,-0.0999999940
6.2059296482,-0.1000000069,6.2059296482,-0.1000000089
6.2159798995,-0.1000000057,6.2159798995,-0.1000000089
6.2260301508,-0.1000000045,6.2260301508,-0.1000000089
6.2360804020,-0.1000000034,6.2360804020,-0.1000000089
6.2461306533,-0.1000000022,6.2461306533,-0.1000000089
6.2561809045,-0.1000000011,6.2561809045,-0.1000000089
6.2662311558,-0.1000000000,6.2662311558,-0.1000000089
6.2762814070,-0.0999999990,6.2762814070,-0.1000000089
6.2863316583,-0.0999999981,6.2863316583,-0.1000000089
6.2963819095,-0.0999999972,6.2963819095,-0.1000000089
6.3064321608,-0.0999999964,6.3064321608,-0.1000000089
6.3164824121,-0.0999999956,6.3164824121,-0.1000000089
6.3265326633,-0.099999995,6.3265326633,-0.1000000089
6.3365829146,-0.0999999944,6.3365829146,-0.1000000089
6.3466331658,-0.0999999939,6.3466331658,-0.1000000089
6.3566834171,-0.0999999935,6.3566834171,-0.1000000089
6.3667336683,-0.0999999932,6.3667336683,-0.1000000089
6.3767839196,-0.099999993,6.3767839196,-0.1000000089
6.3868341709,-0.0999999928,6.3868341709,-0.1000000089
6.3968844221,-0.0999999927,6.3968844221,-0.1000000089
6.4069346734,-0.0999999927,6.4069346734,-0.1000000089
6.4169849246,-0.0999999928,6.4169849246,-0.1000000089
6.4270351759,-0.099999993,6.4270351759,-0.1000000089
6.4370854271,-0.0999999932,6.4370854271,-0.1000000089
6.4471356784,-0.0999999934,6.4471356784,-0.0999999940
6.4571859296,-0.0999999938,6.4571859296,-0.0999999940
6.4672361809,-0.0999999941,6.4672361809,-0.0999999940
6.4772864322,-0.0999999945,6.4772864322,-0.0999999940
6.4873366834,-0.099999995,6.4873366834,-0.0999999940
6.4973869347,-0.0999999954,6.4973869347,-0.0999999940
6.5074371859,-0.0999999959,6.5074371859,-0.0999999940
6.5174874372,-0.0999999964,6.5174874372,-0.0999999940
6.5275376884,-0.0999999969,6.5275376884,-0.0999999940
6.5375879397,-0.0999999975,6.5375879397,-0.0999999940
6.547638191,-0.099999998,6.547638191,-0.0999999940
6.5576884422,-0.0999999985,6.5576884422,-0.0999999940
6.5677386935,-0.0999999990,6.5677386935,-0.0999999940
6.5777889447,-0.0999999995,6.5777889447,-0.0999999940
6.587839196,-0.1,6.587839196,-0.0999999940
6.5978894472,-0.1000000004,6.5978894472,-0.0999999940
6.6079396985,-0.1000000008,6.6079396985,-0.0999999940
6.6179899497,-0.1000000012,6.6179899497,-0.0999999940
6.6280402010,-0.1000000016,6.6280402010,-0.0999999940
6.6380904523,-0.1000000019,6.6380904523,-0.0999999940
6.6481407035,-0.1000000022,6.6481407035,-0.0999999940
6.6581909548,-0.1000000024,6.6581909548,-0.0999999940
6.6682412060,-0.1000000027,6.6682412060,-0.0999999940
6.6782914573,-0.1000000028,6.6782914573,-0.0999999940
6.6883417085,-0.100000003,6.6883417085,-0.0999999940
6.6983919598,-0.1000000031,6.6983919598,-0.0999999940
6.7084422111,-0.1000000032,6.7084422111,-0.0999999940
6.7184924623,-0.1000000032,6.7184924623,-0.0999999940
6.7285427136,-0.1000000032,6.7285427136,-0.0999999940
6.7385929648,-0.1000000032,6.7385929648,-0.0999999940
6.7486432161,-0.1000000031,6.7486432161,-0.0999999940
6.7586934673,-0.1000000030,6.7586934673,-0.0999999940
6.7687437186,-0.1000000029,6.7687437186,-0.0999999940
6.7787939698,-0.1000000028,6.7787939698,-0.0999999940
6.7888442211,-0.1000000026,6.7888442211,-0.0999999940
6.7988944724,-0.1000000024,6.7988944724,-0.0999999940
6.8089447236,-0.1000000022,6.8089447236,-0.0999999940
6.8189949749,-0.1000000020,6.8189949749,-0.0999999940
6.8290452261,-0.1000000018,6.8290452261,-0.0999999940
6.8390954774,-0.1000000016,6.8390954774,-0.0999999940
6.8491457286,-0.1000000014,6.8491457286,-0.0999999940
6.8591959799,-0.1000000011,6.8591959799,-0.0999999940
6.8692462312,-0.1000000009,6.8692462312,-0.0999999940
6.8792964824,-0.1000000007,6.8792964824,-0.0999999940
6.8893467337,-0.1000000004,6.8893467337,-0.0999999940
6.8993969849,-0.1000000002,6.8993969849,-0.0999999940
6.9094472362,-0.1000000000,6.9094472362,-0.0999999940
6.9194974874,-0.0999999998,6.9194974874,-0.0999999940
6.9295477387,-0.0999999996,6.9295477387,-0.0999999940
6.9395979899,-0.0999999995,6.9395979899,-0.0999999940
6.9496482412,-0.0999999993,6.9496482412,-0.0999999940
6.9596984925,-0.0999999992,6.9596984925,-0.0999999940
6.9697487437,-0.0999999990,6.9697487437,-0.0999999940
6.979798995,-0.0999999989,6.979798995,-0.0999999940
6.9898492462,-0.0999999988,6.9898492462,-0.0999999940
6.9998994975,-0.0999999988,6.9998994975,-0.0999999940
7.0099497487,-0.0999999987,7.0099497487,-0.0999999940
7.02,-0.0999999986,7.02,-0.0999999940
